ModelYear,MfrName,Division,Carline,VerifyMfrCd,International,Cyl,Transmission,CityFE,HwyFE,CombFE,Guzzler,AirAspirMethod,AirAspirationMethodDesc,Trans,TransDesc,Gears,LockupTorqueConverter,Drive,DriveDesc,FuelUsage,FuelUsageDesc,GasGuzzlerExempt,EPACalculatedAnnualFuelCost,CarType,CarOrTruck,ReleaseDate,FUelMeteringSys,FuelMeteringSysDesc,StopStartSystem,FERating,GHGRating,FiveYearFuelCost,CityCO2,HwyCO2,CombCO2
2018,FCA US LLC,ALFA ROMEO,4C,CRX,1.8,4,Auto(AM6),24,34,28,No,TC,Turbocharged,AM,Automated Manual,6,Y,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),Not exempt,1500,Two Seaters,car,8/15/2017,GDI,Spark Ignition Direct Injection,N,6,6,750,365,259,317
2018,Volkswagen Group of,Audi,TT Roadster quattro,VGA,2,4,Auto(AM-S6),23,30,26,No,TC,Turbocharged,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),6,Y,A,All Wheel Drive,G,Gasoline (Regular Unleaded Recommended),Not exempt,1400,Two Seaters,car,7/12/2017,GDI,Spark Ignition Direct Injection,N,5,5,250,373,290,336
2018,BMW,BMW,M4 DTM Champions Edition,BMX,3,6,Auto(AM-S7),17,24,20,No,TC,Turbocharged,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,N,R,"2-Wheel Drive, Rear",GP,Gasoline (Premium Unleaded Recommended),Not exempt,2100,Two Seaters,car,7/31/2017,GDI,Spark Ignition Direct Injection,Y,4,4,3750,513,373,450
2018,Volkswagen Group of,Bugatti,Chiron,VGA,8,16,Auto(AM-S7),9,14,11,Guzzler,TC,Turbocharged,AMS,Automated Manual- Selectable (e.g. Automated Manual with paddles),7,Y,A,All Wheel Drive,GPR,Gasoline (Premium Unleaded Required),Not exempt,3800,Two Seaters,car,7/10/2017,MFI,Multipoint/sequential fuel injection,N,1,1,12250,1010,632,840
2018,General Motors,Chevrolet,CORVETTE,GMX,6.2,8,Auto(S8),15,25,18,No,NA,Naturally Aspirated,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),Not exempt,2350,Two Seaters,car,6/10/2017,GDI,Spark Ignition Direct Injection,N,3,3,5000,594,356,487
2018,General Motors,Chevrolet,CORVETTE,GMX,6.2,8,Auto(S8),13,23,16,Guzzler,SC,Supercharged,SA,Semi-Automatic,8,Y,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),Not exempt,2600,Two Seaters,car,6/10/2017,GDI,Spark Ignition Direct Injection,N,2,2,6250,665,388,541
2018,General Motors,Chevrolet,CORVETTE,GMX,6.2,8,Manual(M7),15,22,18,No,SC,Supercharged,M,Manual,7,N,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),Not exempt,2350,Two Seaters,car,6/10/2017,GDI,Spark Ignition Direct Injection,N,3,3,5000,587,400,503
2018,General Motors,Chevrolet,CORVETTE,GMX,6.2,8,Manual(M7),16,25,19,No,NA,Naturally Aspirated,M,Manual,7,N,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),Not exempt,2200,Two Seaters,car,6/10/2017,GDI,Spark Ignition Direct Injection,N,3,3,4250,552,362,466
2018,Ferrari,"Ferrari North America, Inc.",488 gtb,FEX,3.9,8,Auto(AM7),15,22,18,No,TC,Turbocharged,AM,Automated Manual,7,N,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),Not exempt,2350,Two Seaters,car,5/1/2017,GDI,Spark Ignition Direct Injection,N,3,3,5000,580,405,501
2018,Ferrari,"Ferrari North America, Inc.",488 gtb,FEX,3.9,8,Auto(AM7),16,22,18,No,TC,Turbocharged,AM,Automated Manual,7,N,R,"2-Wheel Drive, Rear",GPR,Gasoline (Premium Unleaded Required),Not exempt,2350,Two Seaters,car,5/1/2017,GDI,Spark Ignition Direct Injection,Y,3,3,5000,568,406,495
