Term,Format ,Midterm ,Final 
W17,Campus ,96,98
W17,Campus ,27.5,100
W17,Campus ,97,119
W17,Campus ,196.5,131
W17,Campus ,108.5,138
W17,Campus ,136,145
W17,Campus ,116.5,147
W17,Campus ,152,153
W17,Campus ,169,153
W17,Campus ,160,160
W17,Campus ,189,161
W17,Campus ,140,162
W17,Campus ,183.5,166
W17,Campus ,190,166
W17,Campus ,204,167
W17,Campus ,129.5,168
W17,Campus ,130,168
W17,Campus ,210,169
W17,Campus ,108.5,170
W17,Campus ,143,170
W17,Campus ,150,170
W17,Campus ,155.5,170
W17,Campus ,207,170
W17,Campus ,140.5,173
W17,Campus ,161.5,173
W17,Campus ,173,173
W17,Campus ,177,173
W17,Campus ,155,174
W17,Campus ,160,174
W17,Campus ,162.5,175
W17,Campus ,187,175
W17,Campus ,175,176
W17,Campus ,196,178
W17,Campus ,197,181
W17,Campus ,175.5,182
W17,Campus ,198.5,184
W17,Campus ,181,185
W17,Campus ,103.5,186
W17,Campus ,176.5,186
W17,Campus ,189,187
W17,Campus ,165,188
W17,Campus ,228,188
W17,Campus ,184.5,189
W17,Campus ,230,189
W17,Campus ,129,190
W17,Campus ,219.5,190
W17,Campus ,229,190
W17,Campus ,196,193
W17,Campus ,192,194
W17,Campus ,194.5,194
W17,Campus ,195.5,194
W17,Campus ,198,194
W17,Campus ,207,194
W17,Campus ,211,194
W17,Campus ,144.5,197
W17,Campus ,182,197
W17,Campus ,195,197
W17,Campus ,195.5,197
W17,Campus ,213,197
W17,Campus ,220,197
W17,Campus ,189,198
W17,Campus ,197.5,198
W17,Campus ,133,200
W17,Campus ,144,200
W17,Campus ,168,200
W17,Campus ,173.5,200
W17,Campus ,219,200
W17,Campus ,177,201
W17,Campus ,167,202
W17,Campus ,187,202
W17,Campus ,189,202
W17,Campus ,197,202
W17,Campus ,213.5,202
W17,Campus ,214,202
W17,Campus ,222,202
W17,Campus ,235,202
W17,Campus ,224,203
W17,Campus ,186.5,204
W17,Campus ,177,205
W17,Campus ,177,205
W17,Campus ,179,205
W17,Campus ,190,206
W17,Campus ,194.5,206
W17,Campus ,201,206
W17,Campus ,208,207
W17,Campus ,154,210
W17,Campus ,173.5,210
W17,Campus ,182.5,210
W17,Campus ,184,210
W17,Campus ,198,210
W17,Campus ,205.5,210
W17,Campus ,207.5,210
W17,Campus ,235,210
W17,Campus ,166,212
W17,Campus ,209,213
W17,Campus ,209,213
W17,Campus ,229.5,213
W17,Campus ,186,214
W17,Campus ,189,214
W17,Campus ,207.5,214
W17,Campus ,216.5,214
W17,Campus ,137,216
W17,Campus ,173.5,216
W17,Campus ,228,216
W17,Campus ,234,216
W17,Campus ,165,217
W17,Campus ,139.5,218
