course,miles.to.school,major,school.work.hours,credit.hours,school.materials.dollars,jobs,salary,activity,height,emails,text,os,gaming,gaming.hours,social,social.time,states,us.home,gender,subject,ereader,books,biography
campus,3.1,Computer Science,46,12,300,8,90000,60,70,1,3,Android,computer,3,TRUE,1,40,TRUE,Male,Writing,TRUE,5,Neil deGrasse Tyson
campus,1,Computer Science,25,15,500,2,85000,45,69,16,9,Android,computer,10,TRUE,40,37,TRUE,Male,Writing,TRUE,6,Elon Musk
campus,1,Civil or CEM,25,14,400,1,62000,60,75,2,3,Android,computer,4,TRUE,60,35,TRUE,Male,Writing,TRUE,5,Elon Musk
online,0.3,Computer Science,4,12,0,2,40000,15,72,3,42,iOS,computer,12,TRUE,20,34,TRUE,Male,Writing,TRUE,0,Elon Musk
online,3.2,Mechanical Engineering,10,16,100,5,70000,30,72,15,0,Android,computer,3,TRUE,20,20,TRUE,Male,Writing,TRUE,1,Elon Musk
campus,1,Computer Science,30,16,200,1,65000,60,68,23,300,iOS,computer,5,TRUE,30,18,TRUE,Male,Writing,TRUE,2,Neil deGrasse Tyson
campus,0.5,Civil or CEM,15,12,60,3,65000,60,74,4,25,Android,gaming console,15,TRUE,60,15,TRUE,Male,Writing,TRUE,0,Lebron James
campus,0.1,Civil or CEM,15,9,100,5,120000,60,75,7,10,iOS,nothing. I don't play video games.,0,TRUE,60,15,TRUE,Male,Writing,TRUE,1,Dalai Lama
online,3.2,Computer Science,4,12,70,7,45000,30,65,6,9,Android,computer,6,TRUE,20,15,TRUE,Male,Writing,TRUE,6,Elon Musk
campus,0.5,Mechanical Engineering,24,17,190,3,60000,30,73,10,20,iOS,gaming console,0,TRUE,10,15,TRUE,Male,Writing,TRUE,20,Elon Musk
campus,2,Civil or CEM,20,18,230,4,60000,60,66,16,200,Android,gaming console,2,TRUE,60,12,TRUE,Male,Writing,TRUE,2,Elon Musk
campus,0.1343,Computer Science,12,13,500,1,75000,45,73.5,2,8,iOS,computer,20,TRUE,15,11,TRUE,Male,Writing,TRUE,4,Elon Musk
online,20,Mechanical Engineering,10,12,300,6,70000,15,72,5,10,Android,computer,0,TRUE,60,10,TRUE,Male,Writing,TRUE,2,Elon Musk
campus,12.1,Computer Science,10,12,100,1,30000,60,68,4,20,Android,gaming console,20,TRUE,30,10,TRUE,Male,Writing,TRUE,3,Elon Musk
campus,0.6,Civil or CEM,3,6,20,3,55000,20,66,6,50,iOS,computer,0,TRUE,80,7,TRUE,Male,Writing,TRUE,1,Ruth Bader Ginsburg
campus,1.6,Computer Science,30,15,500,2,100690,30,73,4,26,iOS,computer,8,TRUE,1,7,TRUE,Male,Writing,TRUE,1,Dalai Lama
campus,1.6,Computer Science,10,13,500,4,60000,10,70,11,75,iOS,computer,15,TRUE,20,6,TRUE,Male,Writing,TRUE,7,Elon Musk
campus,0.1,Civil or CEM,15,15,150,2,65000,30,71,7,15,iOS,gaming console,3,TRUE,60,5,TRUE,Male,Writing,TRUE,0,Elon Musk
online,25,Civil or CEM,1.5,15,450,5,75000,30,70,11,100,iOS,nothing. I don't play video games.,0,TRUE,20,5,TRUE,Male,Writing,TRUE,7,Elon Musk
campus,37,Computer Science,8,16,50,6,70000,45,72,21,40,iOS,computer,0,TRUE,0,5,TRUE,Male,Writing,TRUE,0,Elon Musk
campus,0.6,Computer Science,20,14,0,0,50000,40,65,8,6,iOS,computer,40,TRUE,60,3,TRUE,Male,Writing,TRUE,3,Elon Musk
campus,29.3,Civil or CEM,18,15,400,4,85000,120,70,6,4,iOS,gaming console,4,TRUE,30,3,TRUE,Male,Writing,TRUE,2,Neil deGrasse Tyson
online,0,Computer Science,0,15,120,3,80000,45,62,27,200,iOS,computer,0,TRUE,90,11,FALSE,Male,Writing,TRUE,5,Neil deGrasse Tyson
campus,1.2,Computer Science,9,19,200,2,57000,30,66,6,100,iOS,gaming console,0,TRUE,15,10,FALSE,Male,Writing,TRUE,30,Dalai Lama
campus,5,Mechanical Engineering,20,14,400,10,70000,60,76,10,10,iOS,nothing. I don't play video games.,0,TRUE,1,10,FALSE,Male,Writing,TRUE,1,Elon Musk
campus,1,Civil or CEM,14,12,150,0,20000,400,66,10,3,iOS,phone,1,TRUE,240,9,FALSE,Male,Writing,TRUE,2,Lebron James
campus,1,Civil or CEM,21,14,300,0,45000,60,68,5,0,iOS,nothing. I don't play video games.,0,TRUE,60,7,FALSE,Male,Writing,TRUE,5,Lebron James
online,0.6,Computer Science,10,14,500,1,80000,30,70.86,9,0,iOS,computer,15,TRUE,120,3,FALSE,Male,Writing,TRUE,3,Elon Musk
campus,0.4,Industrial Engineering,40,16,300,0,50000,40,68,9,0,Android,phone,5,TRUE,30,1,FALSE,Male,Writing,TRUE,6,Elon Musk
campus,0.8,Computer Science,2,6,150,4,70000,20,69,5,200,iOS,computer,6,TRUE,240,11,TRUE,Female,Writing,TRUE,15,Ruth Bader Ginsburg
online,40.7,Computer Science,20,12,180,6,70000,30,65,10,0,Android,computer,0,TRUE,30,8,TRUE,Female,Writing,TRUE,1,Neil deGrasse Tyson
campus,0.5,Mechanical Engineering,20,16,300,3,50000,30,72,8,6,Android,computer,5,TRUE,120,50,TRUE,Male,Math,TRUE,3,Dalai Lama
campus,0.4,Computer Science,20,13,150,3,40000,60,72,6,6,Android,computer,2,TRUE,60,50,TRUE,Male,Math,TRUE,2,Dalai Lama
campus,0.7,Mechanical Engineering,25,16,500,2,50000,10,71,3,15,iOS,computer,30,TRUE,20,45,TRUE,Male,Math,TRUE,5,Neil deGrasse Tyson
online,40,Civil or CEM,30,15,400,10,60000,40,73,5,1,iOS,nothing. I don't play video games.,0,TRUE,0,45,TRUE,Male,Math,TRUE,2,Neil deGrasse Tyson
campus,0.2,Civil or CEM,15,15,300,3,60000,130,69,4,2,Android,computer,3,TRUE,50,43,TRUE,Male,Math,TRUE,5,Elon Musk
campus,0.9,Mechanical Engineering,10,12,1000,6,70000,30,72,12,10,iOS,nothing. I don't play video games.,0,TRUE,30,40,TRUE,Male,Math,TRUE,0,Elon Musk
campus,23.1,Industrial Engineering,6,14,400,6,50000,30,70,5,3,Android,nothing. I don't play video games.,0,TRUE,20,40,TRUE,Male,Math,TRUE,2,Elon Musk
campus,1.3,Civil or CEM,8,14,170,2,75000,60,74,22,45,iOS,gaming console,10,FALSE,0,36,TRUE,Male,Math,TRUE,0,Lebron James
campus,34,Civil or CEM,20,12,250,5,70000,60,69,12,35,iOS,computer,3,TRUE,15,35,TRUE,Male,Math,TRUE,2,Elon Musk
campus,1.5,Mechanical Engineering,18,12,300,2,60000,20,69,6,14,Android,computer,2,TRUE,2,33,TRUE,Male,Math,TRUE,1,Elon Musk
online,0.5,Computer Science,15,14,200,2,50000,30,70,13,20,iOS,computer,18,TRUE,90,32,TRUE,Male,Math,TRUE,10,Elon Musk
online,212,Computer Science,32,16,300,3,68000,35,75,9,45,iOS,computer,8,TRUE,5,32,TRUE,Male,Math,TRUE,2,Elon Musk
campus,0.8,Mechanical Engineering,20,15,450,5,85000,120,68,19,80,iOS,gaming console,1,TRUE,60,31,TRUE,Male,Math,TRUE,5,Neil deGrasse Tyson
campus,1,Mechanical Engineering,30,15,200,4,65000,60,72,16,200,iOS,gaming console,1,TRUE,100,30,TRUE,Male,Math,TRUE,3,Elon Musk
campus,1,Computer Science,30,15,79,5,75000,60,75,4,10,Android,computer,10,TRUE,10,30,TRUE,Male,Math,TRUE,5,Elon Musk
online,60,Civil or CEM,25,14,150,3,60000,120,71,7,22,iOS,gaming console,1,TRUE,1,30,TRUE,Male,Math,TRUE,5,Elon Musk
campus,0.5,Computer Science,43.3,15,220,4,70000,45,71.5,15,500,Android,computer,1,TRUE,45,27,TRUE,Male,Math,TRUE,2,Elon Musk
campus,3,Civil or CEM,14,13,550,20,65000,20,72,4,4,Android,nothing. I don't play video games.,0,TRUE,0,27,TRUE,Male,Math,TRUE,5,Elon Musk
campus,2.1,Mechanical Engineering,46,15,200,7,65000,30,75,7,63,iOS,gaming console,0,TRUE,20,26,TRUE,Male,Math,TRUE,2,Elon Musk
online,2,Civil or CEM,25,14,200,5,65000,60,68,16,30,Android,nothing. I don't play video games.,0,TRUE,25,25,TRUE,Male,Math,TRUE,1,Lebron James
